"C/C++ Source","References","⇧⌘G","C/C++ Editor"
"Edit","Delete","⌦","In Windows"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"C/C++ Source","Add Include","⇧⌘N","C/C++ Editor"
"Text Editing","Line Down","⌃J","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"C/C++ Source","Show outline","⌘O","C/C++ Editor"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Views","Show View ()","⌥⌘Q T","In Windows"
"Text Editing","Text End","↘","Editing Text"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Editing","Toggle Comment","⌘7","Editing Xtext Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","Editing Xtend Source"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Window","Open Model Element","⇧⌘F3","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Quick JUnit","Open Testing Pair","⌘9","Editing Text"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Run/Debug","Run JUnit Test","⌥⌘X T","Editing Xtend Source"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Navigate","Next","⌘.","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
